observation_id,listing_id,date,price_inr,in_stock,shipping_cost_inr,is_local_quote
OBS-1100,LST-5060TI-16G-ASUS-PRIME,2026-07-05,83900,true,250,false
OBS-1101,LST-5060TI-16G-MSI-SH-MD,2026-07-05,83600,true,0,false
OBS-1102,LST-5060TI-16G-MSI-SH-VEDANT,2026-07-05,83300,true,0,false
OBS-1103,LST-5060TI-16G-EAGLE-PRIME,2026-07-05,77800,true,250,false
OBS-1104,LST-5060TI-16G-EAGLE-LOCAL,2026-07-05,76500,true,500,true
OBS-1105,LST-5060TI-16G-MD,2026-07-10,82800,true,0,false
OBS-1106,LST-5060TI-16G-PRIME,2026-07-10,83200,true,250,false
OBS-1107,LST-5060TI-16G-LOCAL,2026-07-10,81300,true,500,true
OBS-1108,LST-5060TI-8G-MD,2026-07-10,69500,true,0,false
OBS-1109,LST-5060TI-8G-VEDANT,2026-07-10,69200,true,0,false
OBS-1110,LST-5070-12G-MD,2026-07-10,108000,true,0,false
OBS-1111,LST-5070TI-16G-PRIME,2026-07-10,140200,true,250,false
OBS-1112,LST-5060TI-16G-ASUS-MD,2026-07-10,85200,true,0,false
OBS-1113,LST-5060TI-16G-ASUS-PRIME,2026-07-10,85600,true,250,false
OBS-1114,LST-5060TI-16G-MSI-SH-MD,2026-07-10,85400,true,0,false
OBS-1115,LST-5060TI-16G-MSI-SH-VEDANT,2026-07-10,85100,true,0,false
OBS-1116,LST-5060TI-16G-EAGLE-PRIME,2026-07-10,79200,true,250,false
OBS-1117,LST-5060TI-16G-EAGLE-LOCAL,2026-07-10,77900,true,500,true
OBS-1118,LST-5060TI-16G-MD,2026-07-15,84200,true,0,false
OBS-1119,LST-5060TI-16G-PRIME,2026-07-15,84600,true,250,false
OBS-1120,LST-5060TI-16G-LOCAL,2026-07-15,82700,true,500,true
OBS-1121,LST-5060TI-8G-MD,2026-07-15,70600,true,0,false
OBS-1122,LST-5060TI-8G-VEDANT,2026-07-15,70300,true,0,false
OBS-1123,LST-5070-12G-MD,2026-07-15,109800,true,0,false
OBS-1124,LST-5070TI-16G-PRIME,2026-07-15,142500,true,250,false
OBS-1125,LST-5060TI-16G-ASUS-MD,2026-07-15,86500,true,0,false
OBS-1126,LST-5060TI-16G-ASUS-PRIME,2026-07-15,86900,true,250,false
OBS-1127,LST-5060TI-16G-MSI-SH-MD,2026-07-15,86900,true,0,false
OBS-1128,LST-5060TI-16G-MSI-SH-VEDANT,2026-07-15,86600,true,0,false
OBS-1129,LST-5060TI-16G-EAGLE-PRIME,2026-07-15,80500,true,250,false
OBS-1130,LST-5060TI-16G-EAGLE-LOCAL,2026-07-15,79200,true,500,true
OBS-1131,LST-5060TI-16G-MD,2026-07-20,85400,true,0,false
OBS-1132,LST-5060TI-16G-PRIME,2026-07-20,85800,true,250,false
OBS-1133,LST-5060TI-16G-LOCAL,2026-07-20,83900,true,500,true
OBS-1134,LST-5060TI-8G-MD,2026-07-20,71500,true,0,false
OBS-1135,LST-5060TI-8G-VEDANT,2026-07-20,71200,true,0,false
OBS-1136,LST-5070-12G-MD,2026-07-20,111000,true,0,false
OBS-1137,LST-5070TI-16G-PRIME,2026-07-20,144200,true,250,false
OBS-1138,LST-5060TI-16G-ASUS-MD,2026-07-20,87400,true,0,false
OBS-1139,LST-5060TI-16G-ASUS-PRIME,2026-07-20,87800,true,250,false
OBS-1140,LST-5060TI-16G-MSI-SH-MD,2026-07-20,87900,true,0,false
OBS-1141,LST-5060TI-16G-MSI-SH-VEDANT,2026-07-20,87600,true,0,false
OBS-1142,LST-5060TI-16G-EAGLE-PRIME,2026-07-20,81200,true,250,false
OBS-1143,LST-5060TI-16G-EAGLE-LOCAL,2026-07-20,79900,true,500,true
OBS-1144,LST-5060TI-16G-MD,2026-07-25,86100,true,0,false
OBS-1145,LST-5060TI-16G-PRIME,2026-07-25,86500,true,250,false
OBS-1146,LST-5060TI-16G-LOCAL,2026-07-25,84600,true,500,true
OBS-1147,LST-5060TI-8G-MD,2026-07-25,72000,true,0,false
OBS-1148,LST-5060TI-8G-VEDANT,2026-07-25,71700,true,0,false
OBS-1149,LST-5070-12G-MD,2026-07-25,112000,true,0,false
OBS-1150,LST-5070TI-16G-PRIME,2026-07-25,145800,true,250,false
OBS-1151,LST-5060TI-16G-ASUS-MD,2026-07-25,88000,true,0,false
OBS-1152,LST-5060TI-16G-ASUS-PRIME,2026-07-25,88400,true,250,false
OBS-1153,LST-5060TI-16G-MSI-SH-MD,2026-07-25,88500,true,0,false
OBS-1154,LST-5060TI-16G-MSI-SH-VEDANT,2026-07-25,88200,true,0,false
OBS-1155,LST-5060TI-16G-EAGLE-PRIME,2026-07-25,81800,true,250,false
OBS-1156,LST-5060TI-16G-EAGLE-LOCAL,2026-07-25,80500,true,500,true
OBS-1157,LST-5060TI-16G-MD,2026-07-30,86500,true,0,false
OBS-1158,LST-5060TI-16G-PRIME,2026-07-30,86900,true,250,false
OBS-1159,LST-5060TI-16G-LOCAL,2026-07-30,85000,true,500,true
OBS-1160,LST-5060TI-8G-MD,2026-07-30,72500,true,0,false
OBS-1161,LST-5060TI-8G-VEDANT,2026-07-30,72200,true,0,false
OBS-1162,LST-5070-12G-MD,2026-07-30,112500,true,0,false
OBS-1163,LST-5070TI-16G-PRIME,2026-07-30,146500,true,250,false
OBS-1164,LST-5060TI-16G-ASUS-MD,2026-07-30,88500,true,0,false
OBS-1165,LST-5060TI-16G-ASUS-PRIME,2026-07-30,88900,true,250,false
OBS-1166,LST-5060TI-16G-MSI-SH-MD,2026-07-30,88800,true,0,false
OBS-1167,LST-5060TI-16G-MSI-SH-VEDANT,2026-07-30,88500,true,0,false
OBS-1168,LST-5060TI-16G-EAGLE-PRIME,2026-07-30,81900,true,250,false
OBS-1169,LST-5060TI-16G-EAGLE-LOCAL,2026-07-30,80600,true,500,true
